#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-02-03 00:00:00+00:00 2017-02-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CMI,2017-02-03 00:00,M,M,M,300.00,11.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030000Z AUTO 30011KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 00:05,M,M,M,310.00,11.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030005Z AUTO 31011KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 00:10,M,M,M,310.00,10.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030010Z AUTO 31010KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 00:15,M,M,M,300.00,10.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030015Z AUTO 30010KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 00:20,M,M,M,300.00,9.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030020Z AUTO 30009KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 00:25,M,M,M,310.00,11.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030025Z AUTO 31011KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 00:30,M,M,M,310.00,9.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030030Z AUTO 31009KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 00:35,M,M,M,300.00,9.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030035Z AUTO 30009KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 00:40,M,M,M,300.00,10.00,M,30.41,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030040Z AUTO 30010KT 10SM CLR A3041 RMK MADISHF
CMI,2017-02-03 00:45,M,M,M,300.00,9.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030045Z AUTO 30009KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 00:50,M,M,M,310.00,8.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030050Z AUTO 31008KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 00:53,25.00,12.00,57.23,300.00,8.00,0.00,30.40,1030.70,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030053Z 30008KT 10SM CLR M04/M11 A3040 RMK AO2 SLP307 T10391111
CMI,2017-02-03 00:55,M,M,M,300.00,9.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030055Z AUTO 30009KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 01:00,M,M,M,300.00,9.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030100Z AUTO 30009KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 01:05,M,M,M,300.00,9.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030105Z AUTO 30009KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 01:10,M,M,M,310.00,9.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030110Z AUTO 31009KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 01:15,M,M,M,310.00,8.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030115Z AUTO 31008KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 01:20,M,M,M,300.00,9.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030120Z AUTO 30009KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 01:25,M,M,M,310.00,9.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030125Z AUTO 31009KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 01:30,M,M,M,300.00,10.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030130Z AUTO 30010KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 01:35,M,M,M,300.00,10.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030135Z AUTO 30010KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 01:40,M,M,M,300.00,9.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030140Z AUTO 30009KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 01:45,M,M,M,300.00,9.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030145Z AUTO 30009KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 01:50,M,M,M,300.00,10.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030150Z AUTO 30010KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 01:53,24.10,10.90,56.59,290.00,9.00,0.00,30.40,1030.50,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030153Z 29009KT 10SM CLR M04/M12 A3040 RMK AO2 SLP305 T10441117
CMI,2017-02-03 01:55,M,M,M,300.00,9.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030155Z AUTO 30009KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 02:00,M,M,M,300.00,8.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030200Z AUTO 30008KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 02:05,M,M,M,290.00,8.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030205Z AUTO 29008KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 02:10,M,M,M,300.00,8.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030210Z AUTO 30008KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 02:15,M,M,M,300.00,7.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030215Z AUTO 30007KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 02:20,M,M,M,300.00,9.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030220Z AUTO 30009KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 02:25,M,M,M,300.00,9.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030225Z AUTO 30009KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 02:30,M,M,M,300.00,8.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030230Z AUTO 30008KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 02:35,M,M,M,290.00,8.00,M,30.41,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030235Z AUTO 29008KT 10SM CLR A3041 RMK MADISHF
CMI,2017-02-03 02:40,M,M,M,300.00,8.00,M,30.41,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030240Z AUTO 30008KT 10SM CLR A3041 RMK MADISHF
CMI,2017-02-03 02:45,M,M,M,300.00,8.00,M,30.41,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030245Z AUTO 30008KT 10SM CLR A3041 RMK MADISHF
CMI,2017-02-03 02:50,M,M,M,320.00,8.00,M,30.41,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030250Z AUTO 32008KT 10SM CLR A3041 RMK MADISHF
CMI,2017-02-03 02:53,21.90,12.90,67.82,330.00,8.00,0.00,30.41,1030.80,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030253Z 33008KT 10SM CLR M06/M11 A3041 RMK AO2 SLP308 T10561106 53004
CMI,2017-02-03 02:55,M,M,M,320.00,7.00,M,30.41,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030255Z AUTO 32007KT 10SM CLR A3041 RMK MADISHF
CMI,2017-02-03 03:00,M,M,M,320.00,7.00,M,30.41,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030300Z AUTO 32007KT 10SM CLR A3041 RMK MADISHF
CMI,2017-02-03 03:05,M,M,M,320.00,7.00,M,30.41,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030305Z AUTO 32007KT 10SM CLR A3041 RMK MADISHF
CMI,2017-02-03 03:10,M,M,M,320.00,7.00,M,30.41,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030310Z AUTO 32007KT 10SM CLR A3041 RMK MADISHF
CMI,2017-02-03 03:15,M,M,M,320.00,6.00,M,30.41,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030315Z AUTO 32006KT 10SM CLR A3041 RMK MADISHF
CMI,2017-02-03 03:20,M,M,M,320.00,7.00,M,30.41,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030320Z AUTO 32007KT 10SM CLR A3041 RMK MADISHF
CMI,2017-02-03 03:25,M,M,M,320.00,7.00,M,30.41,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030325Z AUTO 32007KT 10SM CLR A3041 RMK MADISHF
CMI,2017-02-03 03:30,M,M,M,320.00,6.00,M,30.41,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030330Z AUTO 32006KT 10SM CLR A3041 RMK MADISHF
CMI,2017-02-03 03:35,M,M,M,320.00,8.00,M,30.41,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030335Z AUTO 32008KT 10SM CLR A3041 RMK MADISHF
CMI,2017-02-03 03:40,M,M,M,320.00,8.00,M,30.41,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030340Z AUTO 32008KT 10SM CLR A3041 RMK MADISHF
CMI,2017-02-03 03:45,M,M,M,320.00,8.00,M,30.41,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030345Z AUTO 32008KT 10SM CLR A3041 RMK MADISHF
CMI,2017-02-03 03:50,M,M,M,320.00,8.00,M,30.41,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030350Z AUTO 32008KT 10SM CLR A3041 RMK MADISHF
CMI,2017-02-03 03:53,19.90,12.00,70.95,330.00,7.00,0.00,30.41,1030.80,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030353Z 33007KT 10SM CLR M07/M11 A3041 RMK AO2 SLP308 T10671111
CMI,2017-02-03 03:55,M,M,M,330.00,7.00,M,30.41,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030355Z AUTO 33007KT 10SM CLR A3041 RMK MADISHF
CMI,2017-02-03 04:00,M,M,M,330.00,6.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030400Z AUTO 33006KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 04:05,M,M,M,330.00,6.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030405Z AUTO 33006KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 04:10,M,M,M,330.00,7.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030410Z AUTO 33007KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 04:15,M,M,M,330.00,7.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030415Z AUTO 33007KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 04:20,M,M,M,320.00,8.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030420Z AUTO 32008KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 04:25,M,M,M,320.00,7.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030425Z AUTO 32007KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 04:30,M,M,M,320.00,8.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030430Z AUTO 32008KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 04:35,M,M,M,320.00,8.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030435Z AUTO 32008KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 04:40,M,M,M,320.00,7.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030440Z AUTO 32007KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 04:45,M,M,M,320.00,8.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030445Z AUTO 32008KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 04:50,M,M,M,320.00,8.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030450Z AUTO 32008KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 04:53,19.90,10.90,67.57,320.00,8.00,0.00,30.40,1030.60,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030453Z 32008KT 10SM CLR M07/M12 A3040 RMK AO2 SLP306 T10671117
CMI,2017-02-03 04:55,M,M,M,320.00,9.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030455Z AUTO 32009KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 05:00,M,M,M,320.00,9.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030500Z AUTO 32009KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 05:05,M,M,M,320.00,9.00,M,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030505Z AUTO 32009KT 10SM CLR A3040 RMK MADISHF
CMI,2017-02-03 05:10,M,M,M,320.00,8.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030510Z AUTO 32008KT 10SM CLR A3039 RMK MADISHF
CMI,2017-02-03 05:15,M,M,M,320.00,8.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030515Z AUTO 32008KT 10SM CLR A3039 RMK MADISHF
CMI,2017-02-03 05:20,M,M,M,320.00,7.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030520Z AUTO 32007KT 10SM CLR A3039 RMK MADISHF
CMI,2017-02-03 05:25,M,M,M,310.00,7.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030525Z AUTO 31007KT 10SM CLR A3039 RMK MADISHF
CMI,2017-02-03 05:30,M,M,M,310.00,8.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMI 030530Z AUTO 31008KT 10SM CLR A3039 RMK MADISHF
