HEART RATE DATE/TIME,VALUE
2017-07-08 00:00:01,79
2017-07-08 00:00:06,78
2017-07-08 00:00:11,77
2017-07-08 00:00:16,75
2017-07-08 00:00:22,77
2017-07-08 00:00:32,76
2017-07-08 00:00:42,76
2017-07-08 00:00:57,76
2017-07-08 00:01:12,76
2017-07-08 00:01:17,77
2017-07-08 00:01:32,77
2017-07-08 00:01:42,78
2017-07-08 00:01:57,78
2017-07-08 00:02:02,78
2017-07-08 00:02:17,78
2017-07-08 00:02:27,77
2017-07-08 00:02:32,76
2017-07-08 00:02:37,76
2017-07-08 00:02:52,76
2017-07-08 00:03:07,77
2017-07-08 00:03:22,78
2017-07-08 00:03:27,79
2017-07-08 00:03:32,80
2017-07-08 00:03:37,80
2017-07-08 00:03:47,83
2017-07-08 00:03:52,84
2017-07-08 00:03:57,84
2017-07-08 00:04:02,85
2017-07-08 00:04:07,79
2017-07-08 00:04:12,80
2017-07-08 00:04:17,75
2017-07-08 00:04:24,71
2017-07-08 00:04:34,72
2017-07-08 00:04:49,73
2017-07-08 00:04:54,74
2017-07-08 00:04:59,71
2017-07-08 00:05:14,70
2017-07-08 00:05:24,71
2017-07-08 00:05:29,72
2017-07-08 00:05:39,70
2017-07-08 00:05:44,66
2017-07-08 00:05:54,67
2017-07-08 00:05:59,70
2017-07-08 00:06:04,71
2017-07-08 00:06:09,72
2017-07-08 00:06:24,71
2017-07-08 00:06:39,70
2017-07-08 00:06:49,70
2017-07-08 00:06:59,69
2017-07-08 00:07:04,68
2017-07-08 00:07:19,67
2017-07-08 00:07:24,68
2017-07-08 00:07:39,68
2017-07-08 00:07:49,68
2017-07-08 00:08:04,73
2017-07-08 00:08:19,73
2017-07-08 00:08:34,71
2017-07-08 00:08:39,70
2017-07-08 00:08:47,69
2017-07-08 00:08:52,70
2017-07-08 00:08:57,71
2017-07-08 00:09:12,71
2017-07-08 00:09:17,70
2017-07-08 00:09:27,69
2017-07-08 00:09:32,70
2017-07-08 00:09:47,70
2017-07-08 00:09:52,69
2017-07-08 00:09:57,70
2017-07-08 00:10:02,71
2017-07-08 00:10:12,72
2017-07-08 00:10:22,71
2017-07-08 00:10:27,69
